,2018-05-13,2018-05-06,2018-04-29,2018-04-22,2018-04-15,2018-04-08,2018-04-01,2018-03-25,2018-03-18,2018-03-11,2018-03-04,2018-02-25,2018-02-18,2018-02-11,2018-02-04,2018-01-28,2018-01-21,2018-01-14,2018-01-07,2017-12-31,2017-12-24,2017-12-17,2017-12-10,2017-12-03,2017-11-26,2017-11-19
freezeout,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,8.0,8.0,8.0
supermanifolds,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0
antiquark,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0
heavylight,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,13.0,13.0,13.0,13.0,13.0,7.0,7.0,8.0,8.0
gws,10.0,10.0,10.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,10.0,10.0,9.0,7.0,7.0,7.0,8.0,8.0
longstanding,3.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0
hadronic,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,8.0,8.0
kitaev,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,8.0
deeper,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0
pade,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,5.0,8.0,8.0
eff,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,7.0,7.0,8.0
bcj,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0
closedform,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0
quarkonia,11.0,8.0,8.0,8.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,7.0,8.0
eikonal,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,5.0,5.0,5.0,5.0,7.0,8.0
wheelerdewitt,18.0,16.0,16.0,16.0,15.0,15.0,14.0,14.0,14.0,14.0,12.0,12.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0
selfcoupling,6.0,6.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,6.0,6.0,8.0
boundstate,7.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,8.0
quasilocal,12.0,12.0,10.0,8.0,10.0,11.0,11.0,11.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,8.0
algebroid,14.0,15.0,15.0,16.0,15.0,15.0,15.0,16.0,16.0,17.0,16.0,11.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,8.0
pn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0
randallsundrum,8.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0
pions,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,9.0,8.0,8.0,7.0
vainshtein,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,8.0,8.0,8.0,7.0
finitetemperature,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0
bottomup,11.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0
supermanifold,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,6.0,6.0,6.0,4.0,5.0,6.0,8.0,8.0,7.0
conifold,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,10.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0
sqcd,23.0,23.0,24.0,24.0,24.0,26.0,24.0,22.0,22.0,22.0,22.0,19.0,19.0,18.0,18.0,18.0,18.0,16.0,18.0,17.0,15.0,9.0,10.0,10.0,7.0,7.0
multiscale,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0
